="",="year",="YOB",="GDR",="Total",="Male",="Female",="Obsv_Total",="Obsv_Male",="Obsv_Female"
="r1",=".",=".",=".",=".",=".",=".",=".",=".",="."
"1","2012","1956","0","8.651559","8.354624","8.936902","691","327","364"
"2","2012","1956","0","8.250908","8.354624","8.15124","659","327","332"
"3","2012","1956","0","9.628146","9.683189","9.575252","769","379","390"
"4","2012","1956","0","8.764242","8.610118","8.91235","700","337","363"
"5","2012","1956","0","8.125704","8.073582","8.175792","649","316","333"
"6","2012","1956","0","8.388632","8.022483","8.740486","670","314","356"
"7","2012","1956","0","7.800175","7.945835","7.660201","623","311","312"
"8","2012","1956","0","8.288469","8.175779","8.396759","662","320","342"
"9","2012","1956","0","8.038062","7.920286","8.15124","642","310","332"
"10","2012","1956","0","8.200826","8.431272","7.979376","655","330","325"
"11","2012","1956","0","7.98798","8.201329","7.782961","638","321","317"
"12","2012","1956","0","7.875297","8.226878","7.537442","629","322","307"
"1","2012","1957","0","8.887804","8.8676","8.907767","728","361","367"
"2","2012","1957","0","8.057624","8.155244","7.961165","660","332","328"
"3","2012","1957","0","8.75351","8.278064","9.223301","717","337","380"
"4","2012","1957","0","8.228544","8.179808","8.276699","674","333","341"
"5","2012","1957","0","8.83897","8.965856","8.713592","724","365","359"
"6","2012","1957","0","8.118667","8.032424","8.203883","665","327","338"
"7","2012","1957","0","7.935539","7.737657","8.131068","650","315","335"
"8","2012","1957","0","8.301795","7.958732","8.640777","680","324","356"
"9","2012","1957","0","8.362837","9.162368","7.572816","685","373","312"
"10","2012","1957","0","8.240752","8.155244","8.325243","675","332","343"
"11","2012","1957","0","8.045416","7.885041","8.203883","659","321","338"
"12","2012","1957","0","8.228544","8.62196","7.839806","674","351","323"
"1","2012","1958","0","8.82458","7.93882","9.677419","741","327","414"
"2","2012","1958","0","7.824223","7.550376","8.087892","657","311","346"
"3","2012","1958","0","9.455758","9.371207","9.537167","794","386","408"
"4","2012","1958","0","8.657854","8.375819","8.929406","727","345","382"
"5","2012","1958","0","8.693581","9.249818","8.158018","730","381","349"
"6","2012","1958","0","7.717042","7.841709","7.597008","648","323","325"
"7","2012","1958","0","7.824223","8.035931","7.620383","657","331","326"
"8","2012","1958","0","7.764678","8.084487","7.456755","652","333","319"
"9","2012","1958","0","8.955579","9.298373","8.625526","752","383","369"
"10","2012","1958","0","8.34822","8.715708","7.99439","701","359","342"
"11","2012","1958","0","8.014767","7.865987","8.158018","673","324","349"
"12","2012","1958","0","7.919495","7.671765","8.158018","665","316","349"
"1","2012","1959","0","8.558506","8.631433","8.484848","738","374","364"
"2","2012","1959","0","7.932274","7.61597","8.251748","684","330","354"
"3","2012","1959","0","9.810971","9.762289","9.86014","846","423","423"
"4","2012","1959","0","8.256987","8.423725","8.088578","712","365","347"
"5","2012","1959","0","9.59063","9.462266","9.72028","827","410","417"
"6","2012","1959","0","7.897483","7.754443","8.041958","681","336","345"
"7","2012","1959","0","8.326568","8.077544","8.578089","718","350","368"
"8","2012","1959","0","7.967065","7.823679","8.111888","687","339","348"
"9","2012","1959","0","7.978662","7.892915","8.065268","688","342","346"
"10","2012","1959","0","8.141018","8.446804","7.832168","702","366","336"
"11","2012","1959","0","7.630755","8.192938","7.062937","658","355","303"
"12","2012","1959","0","7.90908","7.915994","7.902098","682","343","339"
"1","2012","1960","0","8.96921","9.282318","8.665054","804","410","394"
"2","2012","1960","0","8.679161","8.580484","8.775016","778","379","399"
"3","2012","1960","0","8.790718","8.920082","8.665054","788","394","394"
"4","2012","1960","0","8.556448","8.761603","8.357159","767","387","380"
"5","2012","1960","0","8.924587","8.489925","9.346822","800","375","425"
"6","2012","1960","0","8.377956","8.512565","8.247196","751","376","375"
"7","2012","1960","0","8.467202","8.422006","8.511106","759","372","387"
"8","2012","1960","0","8.255243","8.014489","8.489114","740","354","386"
"9","2012","1960","0","7.89826","8.354086","7.455465","708","369","339"
"10","2012","1960","0","7.764391","6.973059","8.533099","696","308","388"
"11","2012","1960","0","7.37394","7.267376","7.477458","661","321","340"
"12","2012","1960","0","7.942883","8.422006","7.477458","712","372","340"
"1","2012","1961","0","8.950447","8.484583","9.425134","811","388","423"
"2","2012","1961","0","8.166869","7.981631","8.355615","740","365","375"
"3","2012","1961","0","8.994592","9.249945","8.734403","815","423","392"
"4","2012","1961","0","8.266196","8.200306","8.333333","749","375","374"
"5","2012","1961","0","8.950447","8.287776","9.625668","811","379","432"
"6","2012","1961","0","8.012361","8.615788","7.397504","726","394","332"
"7","2012","1961","0","8.266196","8.112836","8.42246","749","371","378"
"8","2012","1961","0","8.012361","8.681391","7.33066","726","397","329"
"9","2012","1961","0","8.542104","8.440848","8.645276","774","386","388"
"10","2012","1961","0","8.166869","8.353379","7.976827","740","382","358"
"11","2012","1961","0","7.493654","7.063197","7.932264","679","323","356"
"12","2012","1961","0","8.177905","8.528318","7.820856","741","390","351"
"1","2012","1962","0","8.628099","8.906972","8.348057","783","405","378"
"2","2012","1962","0","8.418733","8.401144","8.436396","764","382","382"
"3","2012","1962","0","8.484848","8.643061","8.325972","770","393","377"
"4","2012","1962","0","9.112948","9.456785","8.767668","827","430","397"
"5","2012","1962","0","8.991736","9.126897","8.856007","816","415","401"
"6","2012","1962","0","7.680441","7.697383","7.663428","697","350","347"
"7","2012","1962","0","8.606061","8.687046","8.524735","781","395","386"
"8","2012","1962","0","8.506887","8.049263","8.966431","772","366","406"
"9","2012","1962","0","8.451791","8.357159","8.54682","767","380","387"
"10","2012","1962","0","7.779614","7.807346","7.751767","706","355","351"
"11","2012","1962","0","7.790634","7.389488","8.193463","707","336","371"
"12","2012","1962","0","7.548209","7.477458","7.619258","685","340","345"
"1","2012","1963","0","9.183353","9.580216","8.779353","876","461","415"
"2","2012","1963","0","7.998742","8.146301","7.84853","763","392","371"
"3","2012","1963","0","9.07852","8.561929","9.6044","866","412","454"
"4","2012","1963","0","8.533389","8.665835","8.398561","814","417","397"
"5","2012","1963","0","9.130936","8.603491","9.667865","871","414","457"
"6","2012","1963","0","7.988259","8.063175","7.911995","762","388","374"
"7","2012","1963","0","8.197924","8.250208","8.144701","782","397","385"
"8","2012","1963","0","8.355173","8.499584","8.208166","797","409","388"
"9","2012","1963","0","8.365657","8.250208","8.483182","798","397","401"
"10","2012","1963","0","7.568928","7.938487","7.192723","722","382","340"
"11","2012","1963","0","7.914876","7.481297","8.356251","755","360","395"
"12","2012","1963","0","7.684244","7.959268","7.404273","733","383","350"
"1","2012","1964","0","8.99362","9.32151","8.667077","874","452","422"
"2","2012","1964","0","8.767236","8.744071","8.790306","852","424","428"
"3","2012","1964","0","8.911299","8.826562","8.995687","866","428","438"
"4","2012","1964","0","8.952459","8.847185","9.057301","870","429","441"
"5","2012","1964","0","8.509981","8.455352","8.564387","827","410","417"
"6","2012","1964","0","8.005763","7.527325","8.482235","778","365","413"
"7","2012","1964","0","8.201276","8.702825","7.701787","797","422","375"
"8","2012","1964","0","8.139535","8.352238","7.927706","791","405","386"
"9","2012","1964","0","8.602593","8.909053","8.297392","836","432","404"
"10","2012","1964","0","7.84112","7.547948","8.133087","762","366","396"
"11","2012","1964","0","6.781231","6.661167","6.900801","659","323","336"
"12","2012","1964","0","8.293888","8.104764","8.482235","806","393","413"
"1","2012","1965","0","8.610035","8.793032","8.42328","822","424","398"
"2","2012","1965","0","8.798575","8.896723","8.698413","840","429","411"
"3","2012","1965","0","9.070912","9.124844","9.015873","866","440","426"
"4","2012","1965","0","8.651933","8.419743","8.888889","826","406","420"
"5","2012","1965","0","9.01854","9.021153","9.015873","861","435","426"
"6","2012","1965","0","8.232953","7.984239","8.486772","786","385","401"
"7","2012","1965","0","8.452917","9.06263","7.830688","807","437","370"
"8","2012","1965","0","7.87682","7.320614","8.444444","752","353","399"
"9","2012","1965","0","8.337698","8.316051","8.359788","796","401","395"
"10","2012","1965","0","7.656856","7.61095","7.703704","731","367","364"
"11","2012","1965","0","7.541636","7.839071","7.238095","720","378","342"
"12","2012","1965","0","7.751126","7.61095","7.89418","740","367","373"
"1","2012","1966","0","9.283847","9.648033","8.912355","888","466","422"
"2","2012","1966","0","8.635651","8.405797","8.870116","826","406","420"
"3","2012","1966","0","9.325666","9.047619","9.609293","892","437","455"
"4","2012","1966","0","8.447465","9.006211","7.877508","808","435","373"
"5","2012","1966","0","8.363826","8.488613","8.236536","800","410","390"
"6","2012","1966","0","8.447465","8.302277","8.595565","808","401","407"
"7","2012","1966","0","8.342917","8.426501","8.257656","798","407","391"
"8","2012","1966","0","7.767904","8.136646","7.391763","743","393","350"
"9","2012","1966","0","8.4161","8.26087","8.574446","805","399","406"
"10","2012","1966","0","7.757449","7.515528","8.004224","742","363","379"
"11","2012","1966","0","7.318348","6.770186","7.877508","700","327","373"
"12","2012","1966","0","7.893361","7.991718","7.793031","755","386","369"
"1","2012","1967","0","8.344212","8.124726","8.559724","767","370","397"
"2","2012","1967","0","8.463882","8.893281","8.04226","778","405","373"
"3","2012","1967","0","8.877285","9.354414","8.408797","816","426","390"
"4","2012","1967","0","8.387728","8.849363","7.934455","771","403","368"
"5","2012","1967","0","8.81201","8.73957","8.883139","810","398","412"
"6","2012","1967","0","8.648825","8.234519","9.055627","795","375","420"
"7","2012","1967","0","8.550914","8.607817","8.495041","786","392","394"
"8","2012","1967","0","7.985205","8.190602","7.783527","734","373","361"
"9","2012","1967","0","8.583551","8.014932","9.141871","789","365","424"
"10","2012","1967","0","8.093995","8.190602","7.999138","744","373","371"
"11","2012","1967","0","7.550044","7.465964","7.6326","694","340","354"
"12","2012","1967","0","7.70235","7.334212","8.063821","708","334","374"
"1","2012","1968","0","9.014652","9.115463","8.915073","806","405","401"
"2","2012","1968","0","8.377139","8.755345","8.003557","749","389","360"
"3","2012","1968","0","9.618611","9.543102","9.693197","860","424","436"
"4","2012","1968","0","8.645565","9.340536","7.959093","773","415","358"
"5","2012","1968","0","8.310032","8.080126","8.537128","743","359","384"
"6","2012","1968","0","8.388323","8.530272","8.24811","750","379","371"
"7","2012","1968","0","8.388323","8.485258","8.292574","750","377","373"
"8","2012","1968","0","8.85807","8.395228","9.315251","792","373","419"
"9","2012","1968","0","8.321217","8.350214","8.292574","744","371","373"
"10","2012","1968","0","7.213958","6.549629","7.870165","645","291","354"
"11","2012","1968","0","6.88961","6.662165","7.114273","616","296","320"
"12","2012","1968","0","7.974499","8.192663","7.759004","713","364","349"
"1","2012","1969","0","9.3026","9.211754","9.395973","787","395","392"
"2","2012","1969","0","8.699764","8.138993","9.276127","736","349","387"
"3","2012","1969","0","9.361702","9.981343","8.724832","792","428","364"
"4","2012","1969","0","8.758865","8.698694","8.820709","741","373","368"
"5","2012","1969","0","9.148936","9.398321","8.892617","774","403","371"
"6","2012","1969","0","8.22695","7.789179","8.676894","696","334","362"
"7","2012","1969","0","8.274232","8.815299","7.718121","700","378","322"
"8","2012","1969","0","8.026005","7.975746","8.077661","679","342","337"
"9","2012","1969","0","8.55792","8.045709","9.084372","724","345","379"
"10","2012","1969","0","7.718676","7.835821","7.598274","653","336","317"
"11","2012","1969","0","7.328605","7.276119","7.38255","620","312","308"
"12","2012","1969","0","6.595745","6.833022","6.35187","558","293","265"
"1","2012","1970","0","8.832449","8.462694","9.209184","699","338","361"
"2","2012","1970","0","8.731362","8.81322","8.647959","691","352","339"
"3","2012","1970","0","9.413697","9.764647","9.056122","745","390","355"
"4","2012","1970","0","8.832449","9.113671","8.545918","699","364","335"
"5","2012","1970","0","8.478645","8.312469","8.647959","671","332","339"
"6","2012","1970","0","8.377559","8.437656","8.316327","663","337","326"
"7","2012","1970","0","8.453374","8.112168","8.80102","669","324","345"
"8","2012","1970","0","7.910033","7.436154","8.392857","626","297","329"
"9","2012","1970","0","7.910033","8.112168","7.704082","626","324","302"
"10","2012","1970","0","7.733131","7.561342","7.908163","612","302","310"
"11","2012","1970","0","7.151883","7.411117","6.887755","566","296","270"
"12","2012","1970","0","8.175385","8.462694","7.882653","647","338","309"
"1","2012","1971","0","8.267823","8.563536","7.98297","610","310","300"
